OBJECTID,TRL_NAME,PARK_NAME,FEATURE_ID,TRL_ID,SEG_ID,STG_AR_ID,SUB_TYPE,FEATURE,FEAT_CMNT,ELEV_FT,CITY_JUR,ZIP_CODE,SUP_DIST,X_STREET,X,Y,PARKING,PHOTO,TXT_E,LAT,LON,DB_ID,DIR_LAT,DIR_LON
7090,Norman O Houston Park Trails,Norman O Houston Park,0600003,060010,0600100001,060010,1,TH,,439,Los Angeles,90008,2nd District,"None, use staging area XY for directions","118° 21' 28.216"" W","33° 59' 57.767"" N",SA,,Mapped,33.99938443,-118.35784995,417,33.99901965,-118.35794485
7092,Park to Playa Trail,,0600005,060001,,060009,1,TAPO,,486,Unincorporated Los Angeles County,90008,2nd District,"None, use staging area XY for directions","118° 21' 42.797"" W","34° 0' 25.506"" N",SA,,Mapped,34.00708984,-118.3619002,237,34.0060917,-118.36232456
7093,Park to Playa Trail,,0600006,060001,,060003,1,TAPO,,286,Unincorporated Los Angeles County,90008,2nd District,"None, use staging area XY for directions","118° 22' 11.003"" W","34° 0' 41.656"" N",SA,,Mapped,34.01157584,-118.36973521,237,34.01163055,-118.36996323
7094,Park to Playa Trail,,0600007,060001,,060006,1,TH,,291,Unincorporated Los Angeles County,90008,2nd District,"None, use staging area XY for directions","118° 22' 19.463"" W","34° 0' 49.154"" N",SA,,Mapped,34.01365884,-118.37208521,237,34.0130025,-118.37142937
7097,Park to Playa Trail,,0600010,060001,,060001,1,TAPO,,234,Culver City,90232,2nd District,"None, use staging area XY for directions","118° 23' 9.964"" W","34° 0' 57.618"" N",SA,,Mapped,34.01600984,-118.38611321,237,34.01449034,-118.38658957
7100,Park to Playa Trail,,0600013,060001,,060001,1,TH,,147,Culver City,90232,2nd District,"None, use staging area XY for directions","118° 23' 10.514"" W","34° 0' 50.785"" N",SA,,Mapped,34.01411184,-118.38626621,237,34.01449034,-118.38658957
7101,Park to Playa Trail,,0600014,060001,,060001,1,TAPO,,150,Culver City,90232,2nd District,"None, use staging area XY for directions","118° 23' 11.922"" W","34° 0' 52.906"" N",SA,,Mapped,34.01470084,-118.38665721,237,34.01449034,-118.38658957
7107,Park to Playa Trail,,0600022,060001,,,1,TH,,12,Los Angeles,90293,4th District,"None, use XY for directions","118° 27' 13.156"" W","33° 57' 48.680"" N",ST,,Mapped,33.96352711,-118.45366679,237,33.96352228,-118.45365458
7116,Park to Playa Trail,,0600034,060001,,060009,1,TH,,489,Unincorporated Los Angeles County,90008,2nd District,"None, use staging area XY for directions","118° 21' 44.039"" W","34° 0' 21.107"" N",SA,,Mapped,34.00586784,-118.3622452,237,34.0060917,-118.36232456
7122,Park to Playa Trail,,0600041,060001,,060002,1,TH,,395,Culver City,90232,2nd District,"None, use staging area XY for directions","118° 22' 55.155"" W","34° 0' 57.524"" N",SA,,Mapped,34.01598375,-118.38199984,237,34.01580519,-118.38190463
7123,Park to Playa Trail,,0600042,060001,,060001,1,TAPO,,225,Culver City,90232,2nd District,"None, use staging area XY for directions","118° 23' 10.050"" W","34° 0' 54.850"" N",SA,,Mapped,34.01524084,-118.38613721,237,34.01449034,-118.38658957
7139,Ballona Creek Bike Path,,0600059,060002,,,1,TH,,12,Los Angeles,90293,4th District,"None, use XY for directions","118° 27' 13.156"" W","33° 57' 48.680"" N",ST,,Mapped,33.96352711,-118.45366679,91,33.96352228,-118.45365458
